region,category,nuclide,produced_per_primary,activity_eob_Bq,activity_1d_Bq,activity_30d_Bq,activity_1y_Bq,activity_5y_Bq
coolant_water,waste_liquid,O16,0.003,0,0,0,0,0
coolant_water,waste_liquid,deuteron,0.001,0,0,0,0,0
coolant_water,waste_liquid,proton,0.026,0,0,0,0,0
foundation_concrete,uncategorized,Al27,0.011,0,0,0,0,0
foundation_concrete,uncategorized,C12,0.003,0,0,0,0,0
foundation_concrete,uncategorized,Ca40,0.011,0,0,0,0,0
foundation_concrete,uncategorized,Ca41,0.001,815824,815824,815823,815818,815796
foundation_concrete,uncategorized,Ca48,0.001,0,0,0,0,0
foundation_concrete,uncategorized,Fe56,0.007,0,0,0,0,0
foundation_concrete,uncategorized,K39,0.002,0,0,0,0,0
foundation_concrete,uncategorized,K40,0.002,133.356,133.356,133.356,133.356,133.356
foundation_concrete,uncategorized,K41,0.001,0,0,0,0,0
foundation_concrete,uncategorized,Mg24,0.001,0,0,0,0,0
foundation_concrete,uncategorized,Na23,0.011,0,0,0,0,0
foundation_concrete,uncategorized,O16,0.392,0,0,0,0,0
foundation_concrete,uncategorized,O17,0.002,0,0,0,0,0
foundation_concrete,uncategorized,Sc48,0.001,1.05238e+12,7.19008e+11,1.14552e+07,4.33466e-49,1.24763e-290
foundation_concrete,uncategorized,Sc48[130.940],0.001,0,0,0,0,0
foundation_concrete,uncategorized,Sc48[252.350],0.001,0,0,0,0,0
foundation_concrete,uncategorized,Si28,0.073,0,0,0,0,0
foundation_concrete,uncategorized,Si29,0.004,0,0,0,0,0
foundation_concrete,uncategorized,Si30,0.006,0,0,0,0,0
foundation_concrete,uncategorized,Ti48,0.001,0,0,0,0,0
foundation_concrete,uncategorized,Ti48[2295.654],0.001,0,0,0,0,0
foundation_concrete,uncategorized,Ti48[3333.196],0.001,0,0,0,0,0
foundation_concrete,uncategorized,Ti48[983.539],0.001,0,0,0,0,0
foundation_concrete,uncategorized,deuteron,0.006,0,0,0,0,0
foundation_concrete,uncategorized,proton,0.564,0,0,0,0,0
shield_bpe,waste_solid,C12,0.395,0,0,0,0,0
shield_bpe,waste_solid,C13,0.003,0,0,0,0,0
shield_bpe,waste_solid,deuteron,0.031,0,0,0,0,0
shield_bpe,waste_solid,proton,3.174,0,0,0,0,0
shield_graphite,waste_solid,B11,0.001,0,0,0,0,0
shield_graphite,waste_solid,C12,7.917,0,0,0,0,0
shield_graphite,waste_solid,C13,0.075,0,0,0,0,0
shield_graphite,waste_solid,proton,0.001,0,0,0,0,0
shield_iron_inner,waste_solid,Co55,0.002,2.10476e+12,8.14832e+11,0.910257,7.83553e-139,0
shield_iron_inner,waste_solid,Co56,0.002,6.56637e+11,6.50771e+11,5.01649e+11,2.48156e+10,50620.3
shield_iron_inner,waste_solid,Co58,0.001,3.52276e+11,3.48847e+11,2.62685e+11,9.91463e+09,6220.89
shield_iron_inner,waste_solid,Cr52,0.003,0,0,0,0,0
shield_iron_inner,waste_solid,Cr52[1434.094],0.001,0,0,0,0,0
shield_iron_inner,waste_solid,Cr53,0.007,0,0,0,0,0
shield_iron_inner,waste_solid,Cr54,0.002,0,0,0,0,0
shield_iron_inner,waste_solid,Cr54[834.855],0.002,0,0,0,0,0
shield_iron_inner,waste_solid,Fe52,0.001,1.05238e+12,1.4096e+11,6.7583e-15,2.23233e-307,0
shield_iron_inner,waste_solid,Fe53,0.002,2.10476e+12,2.42721e-39,0,0,0
shield_iron_inner,waste_solid,Fe54,0.07,0,0,0,0,0
shield_iron_inner,waste_solid,Fe55,0.018,5.38075e+11,5.37703e+11,5.27026e+11,4.18035e+11,1.52298e+11
shield_iron_inner,waste_solid,Fe55[1408.450],0.001,0,0,0,0,0
shield_iron_inner,waste_solid,Fe55[931.290],0.002,0,0,0,0,0
shield_iron_inner,waste_solid,Fe56,0.885,0,0,0,0,0
shield_iron_inner,waste_solid,Fe56[2085.104],0.001,0,0,0,0,0
shield_iron_inner,waste_solid,Fe56[3445.348],0.002,0,0,0,0,0
shield_iron_inner,waste_solid,Fe56[846.778],0.002,0,0,0,0,0
shield_iron_inner,waste_solid,Fe57,0.039,0,0,0,0,0
shield_iron_inner,waste_solid,Fe58,0.003,0,0,0,0,0
shield_iron_inner,waste_solid,Fe58[810.766],0.001,0,0,0,0,0
shield_iron_inner,waste_solid,Mn52[377.749],0.001,1.05238e+12,3.0057e-09,0,0,0
shield_iron_inner,waste_solid,Mn52[546.438],0.001,0,0,0,0,0
shield_iron_inner,waste_solid,Mn53,0.007,155748,155748,155748,155748,155748
shield_iron_inner,waste_solid,Mn53[377.890],0.001,0,0,0,0,0
shield_iron_inner,waste_solid,Mn54,0.002,1.85973e+11,1.85561e+11,1.7399e+11,8.27008e+10,3.23405e+09
shield_iron_inner,waste_solid,Mn55,0.02,0,0,0,0,0
shield_iron_inner,waste_solid,deuteron,0.002,0,0,0,0,0
shield_iron_inner,waste_solid,proton,0.071,0,0,0,0,0
shield_lead_inner,waste_solid,Hg200,0.081,0,0,0,0,0
shield_lead_inner,waste_solid,Pb204,0.081,0,0,0,0,0
shield_lead_inner,waste_solid,Pb206,1.287,0,0,0,0,0
shield_lead_inner,waste_solid,Pb207,1.362,0,0,0,0,0
shield_lead_inner,waste_solid,Pb208,2.999,0,0,0,0,0
shield_lead_inner,waste_solid,Tl207,0.001,1.05238e+12,1.39697e-79,0,0,0
shield_lead_inner,waste_solid,alpha,0.081,0,0,0,0,0
shield_lead_inner,waste_solid,proton,0.001,0,0,0,0,0
target_air_core,waste_gas,C12,0.001,0,0,0,0,0
target_air_core,waste_gas,C14,0.001,1.45988e+07,1.45988e+07,1.45987e+07,1.45971e+07,1.459e+07
target_air_core,waste_gas,N14,0.005,0,0,0,0,0
target_air_core,waste_gas,O16,0.001,0,0,0,0,0
target_air_core,waste_gas,deuteron,0.001,0,0,0,0,0
target_air_core,waste_gas,proton,0.002,0,0,0,0,0
