ix,iy,iz,gamma_dose_Sv_per_h,neutron_dose_Sv_per_h,total_dose_Sv_per_h,gamma_flux_cm2_s_per_primary,neutron_flux_cm2_s_per_primary
88,113,47,0.340282,0,0.340282,1.199e-08,0
89,114,47,0.0199923,0,0.0199923,4.79728e-10,0
87,113,48,0.0367604,0,0.0367604,1.28762e-08,0
88,113,48,0.04217,0,0.04217,1.50695e-08,0
88,114,48,0.0799164,0,0.0799164,1.78185e-08,0
89,114,48,0.289579,0,0.289579,2.3023e-08,0
94,120,49,0.136516,0,0.136516,2.29043e-08,0
94,120,50,0.250916,0,0.250916,2.76566e-08,0
97,128,50,0.049418,0,0.049418,5.93023e-09,0
98,128,50,0.0737043,0,0.0737043,2.55254e-08,0
102,128,50,0.0151996,0,0.0151996,4.35213e-09,0
97,129,50,0.272774,0,0.272774,6.25978e-08,0
101,129,50,0.0439552,0,0.0439552,1.15549e-08,0
102,129,50,0.087433,0,0.087433,2.93182e-08,0
96,131,50,0.418317,0,0.418317,1.3051e-08,0
97,131,50,0.0297298,0,0.0297298,9.14429e-09,0
95,120,51,0.131323,0,0.131323,1.10161e-08,0
107,121,51,0.0472038,0,0.0472038,1.64339e-08,0
101,122,51,0,0.636688,0.636688,0,2.11373e-08
105,122,51,0.080881,0,0.080881,1.23522e-08,0
107,122,51,0.282388,0,0.282388,6.77608e-09,0
101,123,51,0,0.450783,0.450783,0,1.32083e-08
104,123,51,0.0959812,0,0.0959812,9.99878e-09,0
103,125,51,0.171442,0,0.171442,4.11386e-09,0
104,125,51,0.0788942,0,0.0788942,1.46711e-08,0
95,128,51,0.190795,0,0.190795,2.41591e-08,0
101,128,51,0.015619,0,0.015619,3.74788e-10,0
102,128,51,0.0102496,0,0.0102496,3.42401e-09,0
95,129,51,0.0332373,0,0.0332373,9.8222e-09,0
97,129,51,0.123486,0,0.123486,9.66665e-09,0
102,129,51,0.175669,0,0.175669,3.55788e-08,0
97,132,51,0.0405969,0,0.0405969,8.61648e-09,0
93,117,52,0.14247,0,0.14247,8.49581e-09,0
94,117,52,0.0485164,0,0.0485164,1.55042e-08,0
93,118,52,0.00437892,0,0.00437892,1.5153e-09,0
94,120,52,0.660992,0,0.660992,2.66158e-08,0
95,120,52,0.103994,0,0.103994,1.10607e-08,0
98,121,52,0.000150058,0,0.000150058,3.60073e-12,0
101,121,52,0.48923,0,0.48923,1.22626e-08,0
106,121,52,0.0791437,0,0.0791437,1.4771e-08,0
107,121,52,0.0386761,0,0.0386761,1.01781e-08,0
95,122,52,0,0.854719,0.854719,0,2.41614e-08
98,122,52,0.378329,0,0.378329,3.6846e-08,0
99,122,52,0.100373,0,0.100373,8.83333e-09,0
100,122,52,0,0.674294,0.674294,0,1.54712e-08
101,122,52,0,0.457173,0.457173,0,1.55391e-08
102,122,52,0.136141,0,0.136141,2.7217e-08,0
103,122,52,0.031101,0,0.031101,9.72492e-09,0
104,122,52,0.391847,0,0.391847,2.26187e-08,0
106,122,52,0.220843,0,0.220843,2.95048e-08,0
97,123,52,0.0719746,0,0.0719746,1.39214e-08,0
100,123,52,0,0.845683,0.845683,0,2.12619e-08
102,123,52,0.0316811,0.300936,0.332617,8.35611e-09,8.12431e-09
103,123,52,0.395369,0,0.395369,3.46509e-08,0
104,123,52,0.306006,0,0.306006,3.22243e-08,0
96,124,52,0.0283124,0.651497,0.679809,9.45285e-09,1.60182e-08
97,124,52,0,0.119201,0.119201,0,2.80581e-09
96,125,52,0,1.30209,1.30209,0,3.14634e-08
97,125,52,0,0.112416,0.112416,0,2.65871e-09
96,126,52,0,0.859284,0.859284,0,2.35381e-08
97,126,52,0,0.890806,0.890806,0,1.98315e-08
102,128,52,0.524938,0,0.524938,2.39808e-08,0
103,128,52,0.336177,0,0.336177,4.7422e-08,0
101,129,52,0.0552093,0,0.0552093,6.3891e-09,0
101,130,52,0.637108,0,0.637108,1.67279e-08,0
102,132,52,0.0531422,0,0.0531422,2.23741e-09,0
94,117,53,0.134091,0,0.134091,1.68951e-08,0
91,119,53,0.134598,0,0.134598,8.85145e-09,0
93,119,53,0.54148,0,0.54148,2.92453e-08,0
94,119,53,2.99858,0,2.99858,1.73397e-07,0
95,119,53,0.0780403,0,0.0780403,2.06709e-08,0
101,119,53,0,1.03311,1.03311,0,2.41566e-08
90,120,53,0.0167482,0,0.0167482,5.13052e-09,0
91,120,53,0.0222791,0,0.0222791,7.19069e-09,0
93,120,53,0.133123,0,0.133123,2.80625e-08,0
94,120,53,0.30732,0.173469,0.480789,2.65525e-08,6.93751e-09
95,120,53,0.216898,0,0.216898,2.73938e-08,0
100,120,53,0,0.28429,0.28429,0,6.63508e-09
101,120,53,0,2.98588,2.98588,0,7.47585e-08
102,120,53,0,1.08001,1.08001,0,2.91349e-08
103,120,53,0,0.664668,0.664668,0,1.64252e-08
93,121,53,0.00823381,0,0.00823381,2.86039e-09,0
94,121,53,0.0167901,0,0.0167901,5.85356e-09,0
95,121,53,0.0192174,0,0.0192174,6.57629e-09,0
102,121,53,0.0982008,0.378767,0.476968,2.01311e-08,7.74396e-09
103,121,53,0,0.77598,0.77598,0,1.75491e-08
105,121,53,0.13646,0,0.13646,3.27445e-09,0
93,122,53,0,0.184255,0.184255,0,4.34369e-09
94,122,53,0.257566,1.51524,1.77281,1.67308e-08,3.20902e-08
95,122,53,0.110348,0,0.110348,2.9016e-08,0
96,122,53,0,1.75538,1.75538,0,2.15594e-08
99,122,53,0,0.693564,0.693564,0,1.39419e-08
101,122,53,0.222572,0,0.222572,2.0313e-08,0
102,122,53,0.136059,0,0.136059,1.14788e-08,0
103,122,53,3.22761,0.451728,3.67934,1.75063e-07,1.22927e-08
105,122,53,0.0208145,0,0.0208145,7.35316e-09,0
106,122,53,0.0293689,0,0.0293689,1.00005e-08,0
95,123,53,0.0454501,0.736986,0.782436,1.53742e-08,2.10849e-08
96,123,53,0.04781,1.08265,1.13046,1.04733e-08,1.29847e-08
97,123,53,0.0171687,0,0.0171687,6.15488e-09,0
99,123,53,0,0.868157,0.868157,0,2.1868e-08
102,123,53,0.0971427,0.670914,0.768057,2.8197e-09,1.60504e-08
103,123,53,0.15063,0.446056,0.596686,4.0916e-08,1.24209e-08
104,123,53,0.0221607,0,0.0221607,5.93561e-09,0
97,124,53,4.09544,0.171005,4.26645,9.80053e-08,5.18148e-09
101,125,53,0.0438352,0,0.0438352,1.54561e-08,0
96,126,53,0,0.986368,0.986368,0,2.56397e-08
97,126,53,0,0.236385,0.236385,0,5.70715e-09
96,127,53,0,0.352185,0.352185,0,7.06273e-09
102,127,53,0.486131,0,0.486131,2.03946e-08,0
100,128,53,0,61.2571,61.2571,0,3.85419e-08
102,128,53,0,7.24471,7.24471,0,4.51255e-09
103,128,53,0,31.0196,31.0196,0,1.93235e-08
97,129,53,0.473577,0,0.473577,6.09538e-08,0
103,130,53,0.0637432,0,0.0637432,1.50891e-08,0
94,131,53,0.336353,0,0.336353,1.40222e-08,0
102,131,53,0.00392239,0,0.00392239,1.0174e-09,0
103,131,53,0.0309596,0,0.0309596,8.3238e-09,0
102,132,53,0.0551065,0,0.0551065,1.86218e-08,0
110,133,53,0,1.01852,1.01852,0,2.33001e-08
109,134,53,0,0.171585,0.171585,0,4.37227e-09
111,134,53,0.154366,0,0.154366,1.49192e-08,0
